,noun_phrase,entity,entity_type
3939,that,Mr. McConnell,PERSON
3940,who,Mr. McConnell,PERSON
3941,it,Joe,PERSON
3942,Mr. Obama,Mr. McConnell,PERSON
3943,that,Mr. Biden,PERSON
3944,it,Clay Johnson,PERSON
3945,his constituency director,Latino,PERSON
3946,He,Nevada,GPE
3947,he,Hillary Clinton,PERSON
3948,who,Goliath,PERSON
3949,he,vastly out-organized Clinton,PERSON
3950,Sanders’ top brass,Joe Caiazzo,PERSON
3951,they,Warren,PERSON
3952,MSNBC host Joy Reid,Biden,PERSON
3953,Hickenlooper,South Bend,GPE
3954,it,Warren,PERSON
3955,O’Rourke,Rep. Sean Patrick Maloney,PERSON
3956,this,America,GPE
3957,these tariffs,America,GPE
3958,Sanders,2020 progressive candidate Sen. Elizabeth Warren,PERSON
3959,"
Civil rights icon John Lewis",Biden,PERSON
3960,the Vermont senator's biggest worry,Biden,PERSON
3961,them,their federal Pell,PERSON
3962,who,Donald Trump,PERSON
3963,"
Then-Vice President Joe Biden",Obamacare,PERSON
3964,Jesse,Michael Dukakis,PERSON
3965,Jay Inslee,Uygur,GPE
3966,that,Biden,PERSON
3967,they,Elizabeth Warren’s,PERSON
3968,the locus,Washington,GPE
3969,the locus,Washington,GPE
3970,The NBC News/Wall Street Journal poll,former Vice President Joe Biden,PERSON
3971,Trump,Clinton,PERSON
3972,he,Sen. Kamala Harris,PERSON
3973,it,Harris,PERSON
3974,she,Biden,PERSON
3975,the president,the United Kingdom,GPE
3976,Trump,interviewer Steve Doocy,PERSON
3977,He,ABC's George Stephanopoulos,PERSON
3978,His Thursday tweets,Emmanuel Macron,PERSON
3979,he,Queen Elizabeth II,PERSON
3980,"
Democrats",Trump,PERSON
3981,Trump,Mark Warner,PERSON
3982,it,Adam Schiff,PERSON
3983,The president's son,Fox News host Mark Levin,PERSON
3984,who,Fox News broadcaster Mark Levin,PERSON
3985,this President,a 'Russia,GPE
3986,Mr Trump,'U.K.,GPE
3987,Trump,Russia,GPE
3988,Trump,Xi,PERSON
3989,the president,former vice president Joe Biden,PERSON
3990,Chinese officials,the United States,GPE
3991,a robust U.S. economy,China,GPE
3992,I,Elizabeth Warren,PERSON
3993,a pink-tongued snapshot,your Valentine,PERSON
3994,Warren,Roosevelt,PERSON
3995,I,Warren,PERSON
3996,it,Joe Biden,PERSON
3997,Sanders,Warren,PERSON
3998,she,Jim,PERSON
3999,she,Jim,PERSON
4000,Warren,Mann,PERSON
4001,I,Warren,PERSON
4002,Warren,Timothy Geithner,PERSON
4003,they,Washington,GPE
4004,you,Texas,GPE
4005,Synar,Warren,GPE
4006,a Harvard student,Warren,GPE
4007,“The Two-Income Trap,Warren,GPE
4008,who,President Trump,PERSON
4009,She,Biden,PERSON
4010,people,Clinton,PERSON
4011,who,Joe Biden,PERSON
4012,who,President Trump,PERSON
4013,She,Biden,PERSON
4014,people,Clinton,PERSON
4015,who,Joe Biden,PERSON
4016,three,Reagan,PERSON
4017,All this,Clinton,PERSON
4018,Polls,Harris,PERSON
4019,A national Reuters/Ipsos poll,Biden,PERSON
4020,she,Biden,PERSON
4021,The only candidate,New York City Mayor Bill de Blasio,PERSON
4022,Sanders,New York City Mayor Bill de Blasio,PERSON
4023,him,Donald Trump,PERSON
4024,I,Biden,PERSON
4025,One,Franklin D. Roosevelt,PERSON
4026,who,Joe Biden,PERSON
4027,that,President Donald Trump,PERSON
4028,that,President Donald Trump,PERSON
4029,that,Juan Guaido,PERSON
4030,Trump,Omar,PERSON
4031,Trump,Pressley,GPE
4032,Trump,the U.S.,GPE
4033,Biden,Hill,PERSON
4034,who,President Trump,PERSON
4035,She,Biden,PERSON
4036,people,Clinton,PERSON
4037,who,Joe Biden,PERSON
4038,The 20 candidates,Colorado Sen. Michael Bennet,PERSON
4039,The first televised debates,Montana Gov. Steve Bullock,PERSON
4040,that,Bernie Sanders,PERSON
4041,A progressive political group,Elizabeth Warren,PERSON
4042,WFP,incumbent Joe Crowley,PERSON
4043,people,Joe Crowley,PERSON
4044,the other candidates,Julián Castro,PERSON
4045,WFP,Kamala Harris,PERSON
4046,it,Warren,GPE
4047,The Working Families Party,Senator Elizabeth Warren,PERSON
4048,Astead Herndon,Senator Bernie Sanders,PERSON
4049,the individual,Max Stier,PERSON
4050,Trump,Kim,PERSON
4051,Kim,Trump,PERSON
4052,that,Hillary,PERSON
4053,she,a Clinton,PERSON
4054,who,Hillary Clinton’s,PERSON
4055,John McCain,New Mexico,GPE
4056,they,New Mexico,GPE
4057,Australia,China,GPE
4058,who,Boswellia,PERSON
4059,federal prosecutors,President Trump,PERSON
4060,who,Hillary Clinton,PERSON
4061,The last “electable” person,George Bush,PERSON
4062,"




Mike Littwin",no Chait,PERSON
4063,he,Castro,PERSON
4064,that,Donald Trump,PERSON
4065,who,the mighty John Bolton,PERSON
4066,Trump,no Joe Biden,PERSON
4067,it,Gold Lake,GPE
4068,it,John Bolton,PERSON
4069,we,Donald Trump,PERSON
4070,"""They",Biden,PERSON
4071,he,Sen. Kamala Harris,PERSON
4072,it,Harris,PERSON
4073,she,Biden,PERSON
4074,she,Beau,PERSON
4075,President Trump,the Federal Reserve’s Jerome Powell,PERSON
4076,Stephenson,Grisham,PERSON
4077,‘Giant,Steve Bullock,PERSON
4078,The president,lawyer Eugene Scalia,PERSON
4079,him,Democratic front-runner Joe Biden,PERSON
4080,The President,Biden,PERSON
4081,He,President Donald Trump,PERSON
4082,she,Mr. Biden,PERSON
4083,Willie Brown,Kamala Harris,PERSON
4084,Many,Ms. Warren,PERSON
4085,"
Civil rights icon John Lewis",Biden,PERSON
4086,the Vermont senator's biggest worry,Biden,PERSON
4087,he,President Donald Trump,PERSON
4088,the most-mentioned Democratic presidential candidates,Mr. Biden,PERSON
4089,who,President Donald Trump,PERSON
4090,we,Donald Trump,PERSON
4091,that,America,GPE
4092,who,Donald Trump,PERSON
4093,Federal watchdog,Kellyanne Conway,PERSON
4094,Kellyanne Conway,Hatch Act,PERSON
4095,He,President Donald Trump,PERSON
4096,Klobuchar,Inslee,PERSON
4097,he, Sens. Elizabeth Warren,PERSON
4098,This,the United States of America,GPE
4099,Republican Sen. Martha McSally,former astronaut Mark Kelly,PERSON
4100,I,Bush,PERSON
4101,him,Joe Biden,PERSON
4102,His latest book,Confessions,PERSON
4103,"""
OnPolitics Texas Yeehaw",President Trump,PERSON
4104,The Iowa State Fair,Montana Gov. Steve Bullock,PERSON
4105,Sen. Kamala Harris,President Trump,PERSON
4106,She,Senator Cory Booker,PERSON
4107,she,Senator Elizabeth Warren,PERSON
4108,she,former US Representative Beto O'Rourke,PERSON
4109,I,Donald Trump,PERSON
4110,the nation’s ‘crisis,Donald Trump,PERSON
4111,Biden,contemporary America,GPE
4112,we,Iran,GPE
4113,Harris,Biden,PERSON
4114,Joe,Joe,PERSON
4115,He,Obama,GPE
4116,Denmark,Greenland,GPE
4117,she,a last name?,GPE
4118,what,that mean?,GPE
4119,that,cheating?,GPE
4120,Experts,OpenAI policy director Jack Clark,PERSON
4121,China,Russia,GPE
4122,REUTERS/Jonathan Ernst/File PhotoTrump,Tlaib,GPE
4123,she,Biden,PERSON
4124,Biden deputy campaign manager Kate Bedingfield,Harris,PERSON
4125,Harris,Biden,PERSON
4126,he,Biden,PERSON
4127,he,Trump,PERSON
4128,Other speakers,Gary Cohn,PERSON
4129,the world,the United States,GPE
4130,Chris Cuomo,Democratic front-runner Joe Biden,PERSON
4131,others,the Marijuana Justice Act,PERSON
4132,"  
Cory Booker",the Marijuana Justice Act,PERSON
4133,his campaign,de Blasio,PERSON
4134,what,Betts,PERSON
4135,he,Betts,PERSON
4136,he,Betts,PERSON
4137,Not everyone,Betts,PERSON
4138,Chinese president Xi Jinping,Biden,PERSON
4139,It,Biden,PERSON
4140,he,Ireland,GPE
4141,He,China,GPE
4142,Many firms,China,GPE
4143,he,campaign manager Brad Parscale,PERSON
4144,him,former Vice President Joe Biden,PERSON
4145,he,Stephanpoulos,PERSON
4146,he,Stephanpoulos,PERSON
4147,Trump,Biden,PERSON
4148,who,former Senator Mike Gravel,PERSON
4149,Gravel,Mike Gravel,PERSON
4150,it,Oks,PERSON
4151,Their online aesthetic,Dirtbag Left,PERSON
4152,Bernie Sanders,Bernie Sanders,PERSON
4153,who,Mr. Biden,PERSON
4154,She,Biden,PERSON
4155,LBJ,JFK,PERSON
4156,he,French economist Thomas Piketty,PERSON
4157,Spencer,Jeremy Corbyn,PERSON
4158,he,Clinton,PERSON
4159,It,Biden,PERSON
4160,OH Predictive Insights’ surveys,Biden,PERSON
4161,Quinnipiac polls,Biden,PERSON
4162,Fox News,Biden,PERSON
4163,Biden,Nevada,GPE
4164,President Donald Trump,anti-Semitic Reps. Alexandria Ocasio-Cortez,PERSON
4165,Eight other candidates,former Vice President Joe Biden,PERSON
4166,The state-run Saudi Press Agency,military spokesman Col. Turki al-Maliki,PERSON
4167,The U.S.,Iran,GPE
4168,a miscalculation,the U.S.,GPE
4169,it,John Hickenlooper,PERSON
4170,it,Tim Ryan,PERSON
4171,which,former Colorado Gov. Hickenlooper,PERSON
4172,that,Oregon,GPE
4173,the House Intelligence Committee,former White House national security adviser Michael Flynn,PERSON
4174,Texas,California,GPE
4175,He,Sloppy Steve Bannon,PERSON
4176,Trump,Zucker,PERSON
4177,Trump,Rep. Maxine Waters,PERSON
4178,Trump,Cruz,PERSON
4179,that,Barack Obama,PERSON
4180,We,Donald Trump,PERSON
4181,’s,Barack Obama,PERSON
4182,A partial transcript,JOHN BERMAN,PERSON
4183,who,Harris,PERSON
4184,that,Biden,PERSON
4185,Trump,Pennsylvania,GPE
4186,Senator Kamala Harris,former Vice President Joe Biden,PERSON
4187,"
Co-host Jesse Watters",Kennedy,PERSON
4188,Even Fox News,Judge Andrew Napolitano,PERSON
4189,we,Joe,PERSON
4190,Joe”—also,Clinton,PERSON
4191,they,Hillary,PERSON
4192,She,Senator Cory Booker,PERSON
4193,she,Senator Elizabeth Warren,PERSON
4194,she,former US Representative Beto O'Rourke,PERSON
4195,Their loyalty,especially Joe Biden,PERSON
4196,Trump,Erie,PERSON
4197,Fellow presidential candidate Seth Moulton,Biden,PERSON
4198,three,Reagan,PERSON
4199,All this,Clinton,PERSON
4200,You,[former Vice President Joe] Biden,PERSON
4201,The authorities,Ashiqul Alam,PERSON
4202,The host country’s team,South Korea,GPE
4203,We,Donald Trump,PERSON
4204,President,Donald Trump,PERSON
4205,"""""One",Mr. Appalachian Trail,PERSON
4206,2020 presidential candidate Senator Cory Booker,Democrat former Vice President Joe Biden,PERSON
4207,Bill collector Brenda Wright,Biden,PERSON
4208,a poll,Iacocca,PERSON
4209,which,LGBTQ Pride Month,PERSON
4210,This,Barf Bag,PERSON
4211,the candidates,Sens. Cory Booker,PERSON
4212,Several members,Biden,PERSON
4213,He,President Trump,PERSON
4214,Advertising,President Donald Trump,PERSON
4215,it,Biden,PERSON
4216,      El primer ministro de Pakistán,de India,GPE
4217,alargando el tiempo de vuelo para los pasajeros y los,de combustible para las aerolíneas,GPE
4218,It,O.K.,PERSON
4219,The Wall Street Journal,president Joe Biden,PERSON
4220,he,President Donald Trump,PERSON
4221,that,Sen. Kamala Harris,PERSON
4222,Booker,Biden,PERSON
4223,A police-involved shooting,Pete Buttigieg,PERSON
4224,Cabán,Warren,PERSON
4225,most black leaders,rival candidate Melinda Katz,PERSON
4226,the senator,Warren,GPE
4227,Sanders,Third Way,GPE
4228,that,Georgia Sen. Herman Talmadge,PERSON
4229,He,former Mississippi Sen. James Eastland,PERSON
4230,Burisma Energy,Hunter Biden,PERSON
4231,you,[Julian] Castro,PERSON
4232,I,Julian Castro,PERSON
4233,The candidates,Warren,GPE
4234,The state-run Saudi Press Agency,military spokesman Col. Turki al-Maliki,PERSON
4235,The U.S.,Iran,GPE
4236,a miscalculation,the U.S.,GPE
4237,Bill collector Brenda Wright,Biden,PERSON
4238,The Democrats,O’Rourke,PERSON
4239,Republican,progressive Democrat Eduardo De La Vega,PERSON
4240,The other candidates,Washington state Gov. Jay Inslee,PERSON
4241,list,New York Sen. Kirsten Gillibrand,PERSON
4242,Trump,the U.S.,GPE
4243,Serba,anda,PERSON
4244,Pkr Turmoil,As Central Committee Members Rail,PERSON
4245,WHO,Malaysia,GPE
4246,Kami,jasa baik anda untuk menyokong kempen pengiklanan dalam website kami,GPE
4247,Harris,Biden,PERSON
4248,she,Biden,PERSON
4249,it,Buttigieg,PERSON
4250,Democratic presidential candidate Mayor Pete Buttigieg,the Rev. Jacqui Lewis,PERSON
4251,she,Michigan,GPE
4252,Bill collector Brenda Wright,Biden,PERSON
4253,"""The 10 candidates",Joe Biden,PERSON
4254,the threshold,Steyer,GPE
4255,NBC Nightly News anchor Lester Holt,anchor Savannah Guthrie,GPE
4256,The system,Warren,GPE
4257,it,Wells Fargo CEO John Stumpf,PERSON
4258,The exchange,Biden,PERSON
4259,it,Warren,PERSON
4260,that,Warren,GPE
4261,who,Biden,PERSON
4262,incensed,Karem,GPE
4263,Donald Trump Jr,Joe Biden,PERSON
4264,Hillary Clinton,Donald Trump,PERSON
4265,obvious,Harris,PERSON
4266,The poll,Biden,PERSON
4267,he,Warren,PERSON
4268,I,Joe,PERSON
4269,they,Iowa,GPE
4270,This campaign,Nevada,GPE
4271,Ukraine's largest energy producer,Hunter Biden,PERSON
4272,Joe Biden,Chinese President Xi Jinping,PERSON
4273,the cut,former Vice President Joe Biden,PERSON
4274,who,President Trump,PERSON
4275,Trump,more George Wallace,PERSON
4276,He,Pete Buttigieg,PERSON
4277,It,Reagan,PERSON
4278,"
Washington Gov. Jay Inslee",Biden,PERSON
4279,He,Biden,PERSON
4280,Former Vice President Joe Biden,Seattle,GPE
4281,everyone,Hyde,PERSON
4282,The 18th century,Thomas Paine,PERSON
4283,The 19th century,Henry David Thoreau,PERSON
4284,His name,Chen Quanguo,PERSON
4285,which,Jared Harris,PERSON
4286,it,only 3.6 Roentgens,PERSON
4287,His students,a young Larry Summers,PERSON
4288,who,David Boyd Kennedy,PERSON
4289,which,Hong Kongers,PERSON
4290,we,Iran,GPE
4291,Stephanopoulos,Russia,GPE
4292,President Trump,Mexico,GPE
4293,he,Conway,GPE
4294,it,President Trump,PERSON
4295,he,Logan,PERSON
4296,Another officer,Logan,PERSON
4297,who,Logan,GPE
4298,he,Jonathan Capehart,PERSON
4299,who,Mr. Biden,PERSON
4300,I,President Trump,PERSON
4301,Kittie Warshawsky,Gillibrand,PERSON
4302,Trump,USA,GPE
4303,Joe Biden,the same Biden,PERSON
4304,The nerve center,Trump Tower,PERSON
4305,who,President Obama,PERSON
4306,who,Clinton,PERSON
4307,he,Biden,PERSON
4308,The second most popular candidates,Sens. Bernie Sanders,PERSON
4309,he,Sister Deidre Byrne,PERSON
4310,he,Clarence Henderson,PERSON
4311,Navy SEALS,Osama bin Laden,PERSON
4312,Recent polls,President Donald Trump,PERSON
4313,the same fate,President Trump,PERSON
4314,who,Biden,PERSON
4315,it,Ronald Reagan,PERSON
4316,Some other notables,Sen. Kirsten Gillibrand,PERSON
4317,our special guest expert,Marcus Ferrell,PERSON
4318,you,John Lewis,PERSON
4319,He,Sloppy Steve Bannon,PERSON
4320,Trump,Zucker,PERSON
4321,Trump,Rep. Maxine Waters,PERSON
4322,Trump,Cruz,PERSON
4323,he,Neil Irwin,PERSON
4324,KKR,Jérôme Nommé,PERSON
4325,Condé Nast,W,GPE
4326,Polícia Federal já apura se houve convocação para 'dia,A procuradora-geral da República,PERSON
4327,Neste,de semana,PERSON
4328,"Segundo Raquel Dodge,",Ministério Público,PERSON
4329,Segundo o Ministério Público,[A],GPE
4330,Puerto Rico,President Trump,PERSON
4331,it,his 2020 rival Cory Booker,PERSON
4332,Biden,segregationists James Eastland,PERSON
4333,He,both Harriet Tubman,PERSON
4334,We,President Barack Obama,PERSON
4335,this,James Comey,PERSON
4336,almost anybody,President Donald Trump,PERSON
4337,that,President Trump,PERSON
4338,The world’s largest automakers,President Trump,PERSON
4339,A letter,Mr. Trump,PERSON
4340,which,bipartisan pushback,PERSON
4341,who,President Trump,PERSON
4342,North Korea,Joe Biden,PERSON
4343,"
Biden",President Donald Trump,PERSON
4344,the North,former President Barack Obama,PERSON
4345,the United States,North Korea,GPE
4346,Trump,the United States,GPE
4347,North Korea,Joe Biden,PERSON
4348,Biden,President Trump,PERSON
4349,that,Biden,PERSON
4350,Regina Peruggi,Andrew,GPE
4351,North Korea,Biden,PERSON
4352,Matt Rourke,Joe Biden,PERSON
4353,"
Biden",President Donald Trump,PERSON
4354,the North,former President Barack Obama,PERSON
4355,the United States,North Korea,GPE
4356,you,Donald Trump,PERSON
4357,Former Massachusetts governor Bill Weld,his challenging President Trump,PERSON
4358,Democratic,Jones,PERSON
4359,Pennsylvania,Donald Trump,PERSON
4360,who,Democrat Marc Friedenberg,PERSON
4361,Trump,Keller,PERSON
4362,Pennsylvania,Donald Trump,PERSON
4363,who,Democrat Marc Friedenberg,PERSON
4364,Trump,Clinton,PERSON
4365,former Vice President Joe Biden,Pennsylvania,GPE
4366,North Korea,Biden,PERSON
4367,Matt Rourke,Joe Biden,PERSON
4368,"
Biden",President Donald Trump,PERSON
4369,the North,former President Barack Obama,PERSON
4370,the United States,North Korea,GPE
4371,his policies,Harris,PERSON
4372,who,Biden,PERSON
4373,President Donald Trump,Joe Biden,PERSON
4374,I,Scranton,PERSON
4375,They,Biden,PERSON
4376,The first night,Tim Ryan,PERSON
4377,That debate,current frontrunner Joe Biden,PERSON
4378,most polls,Warren,GPE
4379,She,West Virginia,GPE
4380,Sanders’ campaign,"
Peter Koltak",PERSON
4381,that,Rep. Ilhan Omar,PERSON
4382,He,Biden,PERSON
4383,It,Russia,GPE
4384,neither,Ukraine,GPE
4385,it,Ukraine,GPE
4386,Their Foreign Minister,Russia,GPE
4387,You,Shivani Vora,PERSON
4388,The Russian Pacific Fleet,the U.S.,GPE
4389,Biden,his native Pennsylvania,GPE
4390,Former First Lady Michelle Obama,Angelina Jolie,PERSON
4391,We,Higher Ground,PERSON
4392,some Americans,the Obamas,PERSON
4393,"
Breitbart News",Biden,PERSON
4394,the primary goal,President Trump,PERSON
4395,Young people,Biden,PERSON
4396,We,Bernie,PERSON
4397,they,Mr. Trump,PERSON
4398,who,Hillary Clinton,PERSON
4399,younger black voters,Barack Obama,PERSON
4400,they,Obama,PERSON
4401,he,Mr. Biden,PERSON
4402,she,Mr. Biden,PERSON
4403,He,Cardi B,PERSON
4404,Nearly all major Democrat presidential contenders,Senator Elizabeth Warren,PERSON
4405,Christopher Mitchell,Light Reading,PERSON
4406,""" Harold Feld",Light Reading,PERSON
4407,Another bill,H.R. 896,PERSON
4408,Silence,"
Democratic 2020 contender Kamala Harris",PERSON
4409,he,Ukraine,GPE
4410,you,Ukraine,GPE
4411,Trump,Ukraine,GPE
4412,that,US,GPE
4413,that,US,GPE
4414,North Korea’s state media outlet,former Vice President Joe Biden,PERSON
4415,Trump,Biden,PERSON
4416,They,Biden,PERSON
4417,foreign leaders,Biden,PERSON
4418,#ElijahCummingsIsAPatriot https://t.co/2LG8AuQrHh,Joe Biden,PERSON
4419,he,Logan,PERSON
4420,Another officer,Logan,PERSON
4421,who,Logan,GPE
4422,that,President Donald Trump,PERSON
4423,you,Jean Finnegan,PERSON
4424,she,Scranton,PERSON
4425,Barack Obama,Biden,PERSON
4426,Scrantonians,Biden,PERSON
4427,I,Scranton,PERSON
4428,the Democratic presidential contender,Pennsylvania,GPE
4429,it,the new Peoria,GPE
4430,the results,in northeast Pennsylvania,GPE
4431,North Korea,Joe Biden,PERSON
4432,"
Biden",President Donald Trump,PERSON
4433,the North,Obama,GPE
4434,the United States,North Korea,GPE
4435,who,President Trump,PERSON
4436,She,the most prominent Midwesterner,PERSON
4437,Jimmy Carter,Iowa,GPE
4438,who,President Trump,PERSON
4439,She,the most prominent Midwesterner,PERSON
4440,Jimmy Carter,Iowa,GPE
4441,PAUL SANCYA/AP,Bernie Sanders,PERSON
4442,The second night,early front-runner Joe Biden,PERSON
4443,those,Bullock,GPE
4444,That,former Vice President Joe Biden,PERSON
4445,we,Honduras,GPE
4446,New York Sen. Kirsten Gillibrand,Joe Biden,PERSON
4447,Gabbard,Sen. Kamala Harris,PERSON
4448,she,Harris,PERSON
4449,#,Harris,PERSON
4450,Barack Obama,Biden,PERSON
4451,It,President Donald Trump,PERSON
4452,It,President Trump,PERSON
4453,The person,Donald Trump,PERSON
4454,who,the United States,GPE
4455,Sen. Bernie Sanders,Baltimore,GPE
4456,President Trump,Baltimore,GPE
4457,Biden,Sen. Kamala Harris,PERSON
4458," 

CNN debate moderator Dana Bash",Biden,PERSON
4459,some,former President Barack Obama,PERSON
4460,"
Booker",Biden,PERSON
4461,Biden,Harris,PERSON
4462,You,President Trump,PERSON
4463,that,Biden,PERSON
4464,Castro,Biden,PERSON
4465,New York City mayor Bill de Blasio,Biden,PERSON
4466,You,President Obama,PERSON
4467,Bernie Sanders,John Delaney,PERSON
4468,Democratic National Committee Chairman Tom Perez,Fox,PERSON
4469,The candidates, Sen. Michael Bennet,PERSON
4470,Who,Brian Dickerson,PERSON
4471,I,Kamala Harris,PERSON
4472,debate, Cory Booker,PERSON
4473,What others,Rubin,PERSON
4474,she,Biden,PERSON
4475,I,Gabbard,PERSON
4476,he,Trump,PERSON
4477,who,Hunter,PERSON
4478,the president,Omar,PERSON
4479,they,Hillary Clinton,PERSON
4480,Donald Trump,majority black Baltimore,GPE
4481,which,Cincinnati,GPE
4482,which,Cincinnati,GPE
4483,David Niven,the left-leaning Cincinnati,GPE
4484,who,President Trump,PERSON
4485,She,the most prominent Midwesterner,PERSON
4486,Jimmy Carter,Iowa,GPE
4487,Senator Warren,purple and Congresswoman Tulsi Gabbard,PERSON
4488,The former VP's prepared remarks,Kim Jung Un,PERSON
4489,Kim,Donald Trump,PERSON
4490,Biden,the Hermit Kingdom,GPE
4491,SEOUL,Joe Biden,PERSON
4492,"
Biden",President Donald Trump,PERSON
4493,Pro-motion debaters,Michael Pillsbury,PERSON
4494,Debaters,Graham Allison,PERSON
4495,some audience members,Paepcke Auditorium,PERSON
4496,New York Sen. Kirsten Gillibrand,Joe Biden,PERSON
4497,Lemon,Colorado Sen. Michael Bennet,PERSON
4498,he,CNN's Chris Cuomo,PERSON
4499,he,both basketball star LeBron James,PERSON
4500,"""Trump",the black Congresswoman Maxine Waters,PERSON
4501,this,America,GPE
4502,whose state,New Hampshire,GPE
4503,North Korea,Joe Biden,PERSON
4504,"
Biden",President Donald Trump,PERSON
4505,who,Democrat Marc Friedenberg,PERSON
4506,Trump,Clinton,PERSON
4507,who,Democrat Marc Friedenberg,PERSON
4508,Trump,Keller,PERSON
4509,Pennsylvania,Donald Trump,PERSON
4510,who,Democrat Marc Friedenberg,PERSON
4511,Trump,Clinton,PERSON
4512,former Vice President Joe Biden,Pennsylvania,GPE
4513,a poll,Iacocca,PERSON
4514,"(Photo: AP)
SEOUL",Joe Biden,PERSON
4515,"
Biden",President Donald Trump,PERSON
4516,the North,former President Barack Obama,PERSON
4517,the United States,North Korea,GPE
4518,Jurvetson,Sen. Kamala Harris,PERSON
4519,That,comedian Ashley Nicole Black,PERSON
4520,U.S. Vice President Joe Biden,Lee,PERSON
4521,The truth,Jeff Weaver,PERSON
4522,they,Donald J. Trump,PERSON
4523,the US,China,GPE
4524,he,China,GPE
4525,his top candidate,Massachusetts Sen. Elizabeth Warren,PERSON
4526,Terree O'Neil Darling,CNN's Alisyn Camerota,PERSON
4527,she,Biden,PERSON
4528,she,Vermont Sen. Bernie Sanders,PERSON
4529,a lot,Biden,PERSON
4530,An Ohio Quinnipiac University poll,Biden,PERSON
4531,no one,Donald Trump,PERSON
4532,Sen. Cory Booker,former Vice President Joe Biden,PERSON
4533,me,Donald Trump,PERSON
4534,Cory Booker,Joe Biden,PERSON
4535,He,Biden,PERSON
4536,That,comedian Ashley Nicole Black,PERSON
4537,he,US President Donald Trump,PERSON
4538,KCNA,Mr Kim,PERSON
4539,North Korea,Biden,PERSON
4540,Obama's deportation history,Biden,PERSON
4541,You,President Obama,PERSON
4542,who,Hunter,PERSON
4543,the president,Omar,PERSON
4544,they,Hillary Clinton,PERSON
4545,Donald Trump,majority black Baltimore,GPE
4546,which,Cincinnati,GPE
4547,which,Cincinnati,GPE
4548,David Niven,the left-leaning Cincinnati,GPE
4549,Blasio,Biden,PERSON
4550,he,Obama,PERSON
4551,he,Obama,PERSON
4552,You,President Obama,PERSON
4553,He,Harris,PERSON
4554,Biden,his native Pennsylvania,GPE
4555,Biden,Delaware,GPE
4556,de Blasio,Vermont Sen. Bernie Sanders,PERSON
4557,I,Joe Biden,PERSON
4558,She,Joseph R. Biden Jr.,PERSON
4559,the results,Elizabeth Warren,PERSON
4560,which,Mr. Biden,PERSON
4561,the only candidate,Liz Warren,PERSON
4562,I,Andrew Yang,PERSON
4563,I,Kamala,GPE
4564,Two children,Stephen Romero,PERSON
4565,Wednesday,former Vice President Joseph R. Biden Jr.,PERSON
4566,you,California,GPE
4567,Joe Biden,Donald Trump,PERSON
4568,They,Biden,PERSON
4569,the Democratic candidate,his native Pennsylvania,GPE
4570,Biden,China,GPE
4571,It,Greg Dworkin,PERSON
4572,Three states,Trump,PERSON
4573,President Trump,Don McGahn,PERSON
4574,President Trump,former White House counsel Don McGahn,PERSON
4575,de Blasio,Vermont Sen. Bernie Sanders,PERSON
4576,they,President Trump,PERSON
4577,who,Democrat Marc Friedenberg,PERSON
4578,Trump,Clinton,PERSON
4579,Sen. Kamala Harris,fellow presidential hopeful Joe Biden,PERSON
4580,Hallinan,Fazio,PERSON
4581,who,Harris,PERSON
4582,My mother,Kamala,PERSON
4583,Fazio,Hallinan,GPE
4584,I,President Trump,PERSON
4585,Kittie Warshawsky,Gillibrand,PERSON
4586,that,former President Barack Obama,PERSON
4587,Donald Trump,Volodymyr Zelensky,PERSON
4588,you,Ukraine,GPE
4589,The musical’s creative team,Elton John,PERSON
4590,who,de Blasio,PERSON
4591,it,America,GPE
4592,North Korea,Joe Biden,PERSON
4593,"
Biden",President Donald Trump,PERSON
4594,the North,Obama,GPE
4595,the United States,North Korea,GPE
4596,what,Barack Obama,PERSON
4597,I,Obama,PERSON
4598,I,Biden,PERSON
4599,they,Biden,PERSON
4600,they,Biden,PERSON
4601,who,Biden,PERSON
4602,She,Sens. Kamala Harris,PERSON
4603,Democrats,another George Wallace,PERSON
4604,Biden,segregationist Sen. John Stennis,PERSON
4605,Top Democrats,Donald Trump,PERSON
4606,“This,Missouri,GPE
4607,President Donald Trump,former media mogul Conrad Black,PERSON
4608,U.S. Senate Panel,Jeffrey Rosen,PERSON
4609,Washington - President Donald Trump,disgraced British media mogul Conrad Black,PERSON
4610,Trump pardons,media mogul Conrad Black,PERSON
4611,WASHINGTON - President Donald Trump,disgraced British media mogul Conrad Black,PERSON
4612,the White House,"
President Trump Grants Pardon",PERSON
4613,a Monmouth University poll,Biden,PERSON
4614,a Monmouth University poll,", Vermont Sen. Bernie Sanders",PERSON
4615,who,President Donald Trump,PERSON
4616,she,Warren,PERSON
4617,The last speaker,Biden,PERSON
4618,I,Cory Booker,PERSON
4619,I,Elizabeth Warren,PERSON
4620,Swalwell,CNN's Ana Cabrera,PERSON
4621,what,Barack Obama,PERSON
4622,I,Obama,PERSON
4623,I,Biden,PERSON
4624,they,Biden,PERSON
4625,they,Biden,PERSON
4626,who,Biden,PERSON
4627,Our executive producer,Gretta Cohn,PERSON
4628,We,2019The United States,GPE
4629,Harris,Joe Biden,PERSON
4630,she,Joe Biden,PERSON
4631,Harris,Biden,PERSON
4632,David Axelrod,Harris,PERSON
4633,the primary goal,President Trump,PERSON
4634,Young people,Biden,PERSON
4635,We,Bernie,PERSON
